Fecha\T¡tulo,CETES (Miles de Pesos),BONDES,BONDES D,BONOS,UDIBONOS
Sep 1996,54.6059115,59.8568335,0,0,2.43366209
Oct 1996,57.250388,62.2615605,0,0,3.27454163
Nov 1996,59.630172,64.227716,0,0,4.07139138
Dic 1996,62.114111,67.848976,0,0,5.35698
Ene 1997,60.594938,70.822319,0,0,7.25184675
Feb 1997,62.762041,73.299946,0,0,9.77691125
Mar 1997,63.011246,73.527942,0,0,12.56986875
Abr 1997,85.142897,71.922869,0,0,15.68507875
May 1997,93.809441,73.037324,0,0,17.61011575
Jun 1997,99.831546,75.535997,0,0,19.9345045
Jul 1997,110.361732,78.818992,0,0,22.7870385
Ago 1997,119.515251,81.544255,0,0,25.4287815
Sep 1997,131.654546,82.75333,0,0,27.808471
Oct 1997,136.621793,82.950839,0,0,31.453526
Nov 1997,130.190309,82.786569,0,0,33.600075
Dic 1997,137.812544,81.768269,0,0,36.67836
Ene 1998,146.646129,80.9157851,0,0,39.561217
Feb 1998,154.3930626,82.3289219,0,0,42.7923275
Mar 1998,168.834129,81.6422978,0,0,45.0029305
Abr 1998,170.0326838,86.3797288,0,0,49.2506631
May 1998,167.0849918,86.658826,0,0,51.089042
Jun 1998,171.9006459,87.7935524,0,0,53.7994881
Jul 1998,171.1735902,92.0544861,0,0,57.3709487
Ago 1998,175.2005777,93.5827908,0,0,58.8627638
Sep 1998,153.9558497,96.2939903,0,0,58.6203589
Oct 1998,145.0437543,111.248473,0,0,60.7390312
Nov 1998,136.7852269,128.6440378,0,0,60.988566
Dic 1998,127.6003345,151.835597,0,0,62.833444
Ene 1999,111.9010151,172.5434817,0,0,64.6468806
Feb 1999,99.5787874,196.6903358,0,0,66.2994193
Mar 1999,97.981626,223.868939,0,0,69.1757421
Abr 1999,97.0745268,245.393808,0,0,71.8108757
May 1999,96.091379,268.041214,0,0,69.7640559
Jun 1999,91.44974,278.034078,0,0,71.7502864
Jul 1999,94.037188,279.49968,0,0,74.235301
Ago 1999,94.332864,286.852853,0,0,75.321933
Sep 1999,101.204232,296.703609,0,0,75.420739
Oct 1999,107.979832,310.816569,0,0,78.631278
Nov 1999,115.565986,325.014728,0,0,75.969878
Dic 1999,129.044534,337.270992,0,0,80.00805
Ene 2000,132.357054,350.922307,0,0.9686355,82.065826
Feb 2000,136.886061,364.333344,0,2.2777488,83.427796
Mar 2000,138.785583,377.247386,0,3.636044,85.49047
Abr 2000,141.870603,384.547104,0,4.9036923,86.249029
May 2000,144.737373,390.609489,0,7.2191155,81.83301
Jun 2000,149.5173996,398.666717,0,8.56649,84.810455
Jul 2000,156.9885103,411.066119,0,10.3757599,88.118958
Ago 2000,162.588754,414.400053,0,14.68723,85.508996
Sep 2000,164.817088,417.313987,0,18.9260497,85.512452
Oct 2000,171.285744,415.038892,0,24.69861,86.279256
Nov 2000,176.033429,420.591841,0,30.1826861,84.624747
Dic 2000,175.068861,420.25589,0,34.8701157,86.644593
Ene 2001,176.734008,416.870687,0,35.17692,88.199283
Feb 2001,178.155209,415.849429,0,40.7857464,84.553716
Mar 2001,178.43102,408.152372,0,49.876,83.594041
Abr 2001,177.844787,399.917995,0,58.16509,85.900017
May 2001,181.213163,386.894036,0,67.1961,85.263571
Jun 2001,184.955851,380.928044,0,73.60271,85.993349
Jul 2001,186.520381,377.7772349,0,79.9599083,87.7290877
Ago 2001,191.502541,378.019209,0,92.2920908,86.9818228
Sep 2001,190.669832,357.5585681,0,91.7053748,88.3659236
Oct 2001,192.105231,364.4422191,0,105.2590938,90.8252437
Nov 2001,190.554205,353.2050629,0,112.4944845,92.2962397
Dic 2001,196.6738852,348.9880191,0,122.3298194,94.8467299
Ene 2002,195.020646,346.848723,0,136.0899212,96.0618536
Feb 2002,205.518964,353.552469,0,142.2950778,94.2358657
Mar 2002,203.177451,357.189603,0,146.8675136,97.0607647
Abr 2002,207.2563608,361.11314,0,158.0839156,99.5796271
May 2002,200.651301,366.125011,0,170.6598105,97.3828071
Jun 2002,202.8159532,366.595915,0,182.583923,98.2706664
Jul 2002,199.465802,364.9788881,0,182.5762759,98.7940182
Ago 2002,204.241709,363.051034,0,195.5255762,96.8720386
Sep 2002,197.068029,355.651071,0,198.1255,95.3122205
Oct 2002,198.785886,355.174807,0,211.1482729,96.1892702
Nov 2002,208.282369,351.1743989,0,220.1132563,96.502195
Dic 2002,197.438671,343.345208,0,235.0887959,99.7676544
Ene 2003,206.10053,341.40161,0,229.0349611,81.1053734
Feb 2003,200.2416155,342.2320099,0,238.1352791,81.8739088
Mar 2003,206.770805,338.8656003,0,243.841764,81.8358302
Abr 2003,201.361164,339.4923102,0,258.1813747,81.8972719
May 2003,209.3844849,336.0909606,0,277.3946644,84.4371165
Jun 2003,205.6222741,342.5134494,0,288.8155254,86.8389449
Jul 2003,211.4460941,344.2474795,0,308.972829,86.4595032
Ago 2003,206.9592189,351.4747301,0,310.3155254,86.7509502
Sep 2003,216.0284609,358.6232205,0,320.2389543,89.9896823
Oct 2003,218.467209,359.6735296,0,338.0314621,91.6462616
Nov 2003,210.001359,363.5850402,0,352.2839713,92.2339911
Dic 2003,212.913027,355.9935598,0,360.8993709,94.6509084
Ene 2004,214.794337,360.8396003,0,364.5331574,77.9887802
Feb 2004,232.529884,346.3285099,0,371.7233882,79.734885
Mar 2004,236.619471,351.9734299,0,381.5173244,79.7944959
Abr 2004,247.9443488,341.2739501,0,389.6089814,78.6606781
May 2004,248.480659,345.22117,0,390.4312763,80.4565288
Jun 2004,257.630341,331.8310599,0,392.6105888,78.9044019
Jul 2004,257.597675,333.6002497,0,403.1980311,78.1467427
Ago 2004,263.073142,320.1121902,0,419.5982563,80.2062585
Sep 2004,253.889034,323.2395604,0,407.1478988,83.7595358
Oct 2004,246.3238302,310.0029397,0,427.8410866,85.737237
Nov 2004,250.333697,312.8685104,0,437.7214318,87.4256415
Dic 2004,251.497975,316.2987304,0,426.866818,89.7996493
Ene 2005,260.928468,296.8632705,0,445.8338132,90.9689684
Feb 2005,253.744739,298.8208798,0,450.3671296,76.583694
Mar 2005,264.5200493,301.4557706,0,457.4148464,78.5340459
Abr 2005,265.1504703,298.02549,0,474.7582348,78.7737068
May 2005,280.317677,301.2136201,0,468.8507127,81.4786589
Jun 2005,282.311751,304.132779,0,478.42483,85.1867507
Jul 2005,292.275105,295.3636441,0,490.83195,87.347796
Ago 2005,293.553063,297.770042,0,516.04135,90.7481889
Sep 2005,293.297239,299.635318,0,537.18494,94.989289
Oct 2005,291.827992,291.232525,0,559.28052,96.150157
Nov 2005,290.858634,293.224678,0,580.16812,99.074898
Dic 2005,300.028437,294.78621,0,563.35322,101.606859
Ene 2006,304.623697,280.394307,0,593.26622,106.990428
Feb 2006,312.848116,280.092794,0,619.28741,112.243074
Mar 2006,303.890804,265.356737,0,608.70111,116.366175
Abr 2006,311.719735,265.341834,0,627.92263,119.854674
May 2006,309.469406,265.502136,0,646.0835,121.916487
Jun 2006,324.953401,249.339373,0,654.17094,127.020371
Jul 2006,318.552044,248.823194,0,682.40957,134.155629
Ago 2006,320.898104,233.18915,144.162736,694.72375,142.814952
Sep 2006,332.081164,233.33434,156.215194,721.55863,149.63664
Oct 2006,336.66696,233.30531,171.344246,761.43615,156.694899
Nov 2006,359.415679,218.93312,189.438885,819.086,162.767181
Dic 2006,358.824016,219.21469,204.505712,814.66049,170.705421
Ene 2007,368.18371,203.87368,221.435902,824.74396,173.572235
Feb 2007,369.333878,203.56291,238.713748,842.11045,181.731146
Mar 2007,370.054305,187.21938,260.345525,851.2358,195.564348
Abr 2007,365.946726,186.79239,279.33291,880.48012,202.957908
May 2007,367.610478,187.30639,302.762019,929.09627,211.370097
Jun 2007,353.99725,171.55581,321.812837,915.96582,212.668458
Jul 2007,353.847257,171.13483,337.071102,942.72622,220.659626
Ago 2007,350.300912,155.51047,315.347089,947.68955,226.567019
Sep 2007,357.65355,155.82742,326.275926,990.58214,233.109194
Oct 2007,356.407665,139.95412,331.281488,1037.28626,241.606519
Nov 2007,350.699548,140.16307,345.081396,1051.56602,252.01009
Dic 2007,352.64387,140.66811,355.150314,975.81193,258.124176
Ene 2008,342.116176,122.9253,364.662381,1032.0419,267.678986
Feb 2008,345.762828,123.25363,369.789056,1066.51528,276.934989
Mar 2008,333.54679,106.84767,376.166673,1098.41523,285.101825
Abr 2008,340.548009,106.45346,382.890943,1073.9405,292.485637
May 2008,334.580265,89.94712,388.032913,1093.85807,296.694595
Jun 2008,340.174467,90.02456,398.213909,1031.22334,290.335931
Jul 2008,336.14511,73.77717,410.966027,1075.8192,304.281457
Ago 2008,331.636027,73.90634,387.002811,1122.79946,318.215628
Sep 2008,336.421143,74.41715,397.07771,1134.96866,325.391837
Oct 2008,344.314551,59.15612,399.626929,1142.26491,332.520966
Nov 2008,362.996258,59.51251,418.078612,1162.00335,329.608979
Dic 2008,368.911644,59.5171,433.778933,1148.93845,350.616474
Ene 2009,397.524409,44.52471,448.411117,1206.19314,365.687855
