Fecha\T¡tulo,CETES (Miles de Pesos),BONDES,BONDES D,BONOS,UDIBONOS,?CETES,?BONDES,?BONDES D,?BONOS,?UDIBONOS
Jun 2004,"257,630,341.00","331,831,059.90",0.00,"392,610,588.80","78,904,401.90",3.68,-3.88,0.00,0.56,-1.93
Jul 2004,"257,597,675.00","333,600,249.70",0.00,"403,198,031.10","78,146,742.70",-0.01,0.53,0.00,2.70,-0.96
Ago 2004,"263,073,142.00","320,112,190.20",0.00,"419,598,256.30","80,206,258.50",2.13,-4.04,0.00,4.07,2.64
Sep 2004,"253,889,034.00","323,239,560.40",0.00,"407,147,898.80","83,759,535.80",-3.49,0.98,0.00,-2.97,4.43
Oct 2004,"246,323,830.20","310,002,939.70",0.00,"427,841,086.60","85,737,237.00",-2.98,-4.09,0.00,5.08,2.36
Nov 2004,"250,333,697.00","312,868,510.40",0.00,"437,721,431.80","87,425,641.50",1.63,0.92,0.00,2.31,1.97
Dic 2004,"251,497,975.00","316,298,730.40",0.00,"426,866,818.00","89,799,649.30",0.47,1.10,0.00,-2.48,2.72
Ene 2005,"260,928,468.00","296,863,270.50",0.00,"445,833,813.20","90,968,968.40",3.75,-6.14,0.00,4.44,1.30
Feb 2005,"253,744,739.00","298,820,879.80",0.00,"450,367,129.60","76,583,694.00",-2.75,0.66,0.00,1.02,-15.81
Mar 2005,"264,520,049.30","301,455,770.60",0.00,"457,414,846.40","78,534,045.90",4.25,0.88,0.00,1.56,2.55
Abr 2005,"265,150,470.30","298,025,490.00",0.00,"474,758,234.80","78,773,706.80",0.24,-1.14,0.00,3.79,0.31
May 2005,"280,317,677.00","301,213,620.10",0.00,"468,850,712.70","81,478,658.90",5.72,1.07,0.00,-1.24,3.43
Jun 2005,"282,311,751.00","304,132,779.00",0.00,"478,424,830.00","85,186,750.70",0.71,0.97,0.00,2.04,4.55
Jul 2005,"292,275,105.00","295,363,644.10",0.00,"490,831,950.00","87,347,796.00",3.53,-2.88,0.00,2.59,2.54
Ago 2005,"293,553,063.00","297,770,042.00",0.00,"516,041,350.00","90,748,188.90",0.44,0.81,0.00,5.14,3.89
Sep 2005,"293,297,239.00","299,635,318.00",0.00,"537,184,940.00","94,989,289.00",-0.09,0.63,0.00,4.10,4.67
Oct 2005,"291,827,992.00","291,232,525.00",0.00,"559,280,520.00","96,150,157.00",-0.50,-2.80,0.00,4.11,1.22
Nov 2005,"290,858,634.00","293,224,678.00",0.00,"580,168,120.00","99,074,898.00",-0.33,0.68,0.00,3.73,3.04
Dic 2005,"300,028,437.00","294,786,210.00",0.00,"563,353,220.00","101,606,859.00",3.15,0.53,0.00,-2.90,2.56
Ene 2006,"304,623,697.00","280,394,307.00",0.00,"593,266,220.00","106,990,428.00",1.53,-4.88,0.00,5.31,5.30
Feb 2006,"312,848,116.00","280,092,794.00",0.00,"619,287,410.00","112,243,074.00",2.70,-0.11,0.00,4.39,4.91
Mar 2006,"303,890,804.00","265,356,737.00",0.00,"608,701,110.00","116,366,175.00",-2.86,-5.26,0.00,-1.71,3.67
Abr 2006,"311,719,735.00","265,341,834.00",0.00,"627,922,630.00","119,854,674.00",2.58,-0.01,0.00,3.16,3.00
May 2006,"309,469,406.00","265,502,136.00",0.00,"646,083,500.00","121,916,487.00",-0.72,0.06,0.00,2.89,1.72
Jun 2006,"324,953,401.00","249,339,373.00",0.00,"654,170,940.00","127,020,371.00",5.00,-6.09,0.00,1.25,4.19
Jul 2006,"318,552,044.00","248,823,194.00",0.00,"682,409,570.00","134,155,629.00",-1.97,-0.21,0.00,4.32,5.62
Ago 2006,"320,898,104.00","233,189,150.00","144,162,736.00","694,723,750.00","142,814,952.00",0.74,-6.28,0.00,1.80,6.45
Sep 2006,"332,081,164.00","233,334,340.00","156,215,194.00","721,558,630.00","149,636,640.00",3.48,0.06,8.36,3.86,4.78
Oct 2006,"336,666,960.00","233,305,310.00","171,344,246.00","761,436,150.00","156,694,899.00",1.38,-0.01,9.68,5.53,4.72
Nov 2006,"359,415,679.00","218,933,120.00","189,438,885.00","819,086,000.00","162,767,181.00",6.76,-6.16,10.56,7.57,3.88
Dic 2006,"358,824,016.00","219,214,690.00","204,505,712.00","814,660,490.00","170,705,421.00",-0.16,0.13,7.95,-0.54,4.88
Ene 2007,"368,183,710.00","203,873,680.00","221,435,902.00","824,743,960.00","173,572,235.00",2.61,-7.00,8.28,1.24,1.68
Feb 2007,"369,333,878.00","203,562,910.00","238,713,748.00","842,110,450.00","181,731,146.00",0.31,-0.15,7.80,2.11,4.70
Mar 2007,"370,054,305.00","187,219,380.00","260,345,525.00","851,235,800.00","195,564,348.00",0.20,-8.03,9.06,1.08,7.61
Abr 2007,"365,946,726.00","186,792,390.00","279,332,910.00","880,480,120.00","202,957,908.00",-1.11,-0.23,7.29,3.44,3.78
May 2007,"367,610,478.00","187,306,390.00","302,762,019.00","929,096,270.00","211,370,097.00",0.45,0.28,8.39,5.52,4.14
Jun 2007,"353,997,250.00","171,555,810.00","321,812,837.00","915,965,820.00","212,668,458.00",-3.70,-8.41,6.29,-1.41,0.61
Jul 2007,"353,847,257.00","171,134,830.00","337,071,102.00","942,726,220.00","220,659,626.00",-0.04,-0.25,4.74,2.92,3.76
Ago 2007,"350,300,912.00","155,510,470.00","315,347,089.00","947,689,550.00","226,567,019.00",-1.00,-9.13,-6.44,0.53,2.68
Sep 2007,"357,653,550.00","155,827,420.00","326,275,926.00","990,582,140.00","233,109,194.00",2.10,0.20,3.47,4.53,2.89
Oct 2007,"356,407,665.00","139,954,120.00","331,281,488.00","1,037,286,260.00","241,606,519.00",-0.35,-10.19,1.53,4.71,3.65
Nov 2007,"350,699,548.00","140,163,070.00","345,081,396.00","1,051,566,020.00","252,010,090.00",-1.60,0.15,4.17,1.38,4.31
Dic 2007,"352,643,870.00","140,668,110.00","355,150,314.00","975,811,930.00","258,124,176.00",0.55,0.36,2.92,-7.20,2.43
Ene 2008,"342,116,176.00","122,925,300.00","364,662,381.00","1,032,041,900.00","267,678,986.00",-2.99,-12.61,2.68,5.76,3.70
Feb 2008,"345,762,828.00","123,253,630.00","369,789,056.00","1,066,515,280.00","276,934,989.00",1.07,0.27,1.41,3.34,3.46
Mar 2008,"333,546,790.00","106,847,670.00","376,166,673.00","1,098,415,230.00","285,101,825.00",-3.53,-13.31,1.72,2.99,2.95
Abr 2008,"340,548,009.00","106,453,460.00","382,890,943.00","1,073,940,500.00","292,485,637.00",2.10,-0.37,1.79,-2.23,2.59
May 2008,"334,580,265.00","89,947,120.00","388,032,913.00","1,093,858,070.00","296,694,595.00",-1.75,-15.51,1.34,1.85,1.44
Jun 2008,"340,174,467.00","90,024,560.00","398,213,909.00","1,031,223,340.00","290,335,931.00",1.67,0.09,2.62,-5.73,-2.14
Jul 2008,"336,145,110.00","73,777,170.00","410,966,027.00","1,075,819,200.00","304,281,457.00",-1.18,-18.05,3.20,4.32,4.80
Ago 2008,"331,636,027.00","73,906,340.00","387,002,811.00","1,122,799,460.00","318,215,628.00",-1.34,0.18,-5.83,4.37,4.58
Sep 2008,"336,421,143.00","74,417,150.00","397,077,710.00","1,134,968,660.00","325,391,837.00",1.44,0.69,2.60,1.08,2.26
Oct 2008,"344,314,551.00","59,156,120.00","399,626,929.00","1,142,264,910.00","332,520,966.00",2.35,-20.51,0.64,0.64,2.19
Nov 2008,"362,996,258.00","59,512,510.00","418,078,612.00","1,162,003,350.00","329,608,979.00",5.43,0.60,4.62,1.73,-0.88
Dic 2008,"368,911,644.00","59,517,100.00","433,778,933.00","1,148,938,450.00","350,616,474.00",1.63,0.01,3.76,-1.12,6.37
Ene 2009,"397,524,409.00","44,524,710.00","448,411,117.00","1,206,193,140.00","365,687,855.00",7.76,-25.19,3.37,4.98,4.30
Feb 2009,"398,034,887.00","44,253,190.00","459,426,898.00","1,179,496,880.00","362,178,333.00",0.13,-0.61,2.46,-2.21,-0.96
Mar 2009,"417,886,929.00","44,646,760.00","470,649,474.00","1,248,405,340.00","384,597,731.00",4.99,0.89,2.44,5.84,6.19
Abr 2009,"445,208,722.00","32,429,430.00","473,744,447.00","1,294,659,530.00","402,295,854.00",6.54,-27.36,0.66,3.71,4.60
May 2009,"472,708,964.00","32,611,250.00","480,619,473.00","1,305,699,740.00","415,433,693.00",6.18,0.56,1.45,0.85,3.27
Jun 2009,"469,072,157.00","32,298,270.00","484,203,710.00","1,277,494,830.00","414,584,603.00",-0.77,-0.96,0.75,-2.16,-0.20
Jul 2009,"483,219,229.00","32,082,960.00","491,701,482.00","1,305,414,230.00","430,020,130.00",3.02,-0.67,1.55,2.19,3.72
Ago 2009,"502,558,937.00","20,793,700.00","483,375,096.00","1,322,799,490.00","444,175,938.00",4.00,-35.19,-1.69,1.33,3.29
Sep 2009,"511,178,927.00","20,877,700.00","488,484,638.00","1,359,458,240.00","458,072,819.00",1.72,0.40,1.06,2.77,3.13
Oct 2009,"525,558,519.00","20,965,880.00","471,732,267.00","1,391,753,070.00","448,704,591.00",2.81,0.42,-3.43,2.38,-2.05
Nov 2009,"524,123,170.00","21,069,910.00","476,319,715.00","1,424,772,420.00","458,577,798.00",-0.27,0.50,0.97,2.37,2.20
Dic 2009,"512,568,049.00","20,852,930.00","468,387,865.00","1,299,735,070.00","466,402,740.00",-2.20,-1.03,-1.67,-8.78,1.71
Ene 2010,"505,806,036.00","11,090,550.00","473,779,661.00","1,330,436,140.00","478,965,044.00",-1.32,-46.82,1.15,2.36,2.69
Feb 2010,"508,495,713.00","11,131,100.00","465,162,551.00","1,400,638,000.00","488,845,318.00",0.53,0.37,-1.82,5.28,2.06
Mar 2010,"517,315,271.00","11,176,260.00","469,670,681.00","1,449,755,570.00","515,303,865.00",1.73,0.41,0.97,3.51,5.41
Abr 2010,"532,584,516.00","11,220,560.00","457,037,190.00","1,496,826,340.00","526,694,829.00",2.95,0.40,-2.69,3.25,2.21
May 2010,"523,393,993.00","11,263,750.00","460,288,830.00","1,529,321,970.00","536,236,718.00",-1.73,0.38,0.71,2.17,1.81
Jun 2010,"540,139,318.00",0.00,"448,695,947.00","1,528,131,540.00","554,151,786.00",3.20,0.00,-2.52,-0.08,3.34
Jul 2010,"506,302,358.00",0.00,"452,145,434.00","1,605,965,610.00","582,339,414.00",-6.26,0.00,0.77,5.09,5.09
Ago 2010,"495,978,783.00",0.00,"396,796,248.00","1,640,689,830.00","596,237,930.00",-2.04,0.00,-12.24,2.16,2.39
Sep 2010,"502,403,396.00",0.00,"398,672,368.00","1,699,167,510.00","623,244,824.00",1.30,0.00,0.47,3.56,4.53
Oct 2010,"466,605,911.00",0.00,"389,926,178.00","1,730,353,430.00","641,318,185.00",-7.13,0.00,-2.19,1.84,2.90
Nov 2010,"457,681,850.00",0.00,"399,995,409.00","1,715,106,130.00","621,251,328.00",-1.91,0.00,2.58,-0.88,-3.13
Dic 2010,"557,122,523.00",0.00,"400,248,684.00","1,612,492,190.00","583,070,736.00",21.73,0.00,0.06,-5.98,-6.15
Ene 2011,"564,116,899.00",0.00,"419,152,490.00","1,617,246,920.00","556,039,031.42",1.26,0.00,4.72,0.29,-4.64
Feb 2011,"537,549,369.00",0.00,"430,076,299.00","1,660,567,130.00","558,879,566.61",-4.71,0.00,2.61,2.68,0.51
Mar 2011,"536,815,279.00",0.00,"442,893,128.00","1,685,020,470.00","578,246,199.32",-0.14,0.00,2.98,1.47,3.47
Abr 2011,"540,714,531.00",0.00,"469,535,340.00","1,737,582,000.00","607,622,173.04",0.73,0.00,6.02,3.12,5.08
May 2011,"563,173,731.00",0.00,"496,364,353.00","1,797,896,960.00","624,186,063.14",4.15,0.00,5.71,3.47,2.73
Jun 2011,"631,863,911.00",0.00,"521,736,102.00","1,731,058,650.00","619,768,312.44",12.20,0.00,5.11,-3.72,-0.71
Jul 2011,"631,249,289.00",0.00,"551,424,350.00","1,782,574,960.00","648,915,750.25",-0.10,0.00,5.69,2.98,4.70
Ago 2011,"641,253,637.00",0.00,"583,214,879.00","1,867,832,840.00","671,352,995.61",1.58,0.00,5.77,4.78,3.46
Sep 2011,"631,358,387.00",0.00,"624,066,479.00","1,873,553,510.00","681,343,804.64",-1.54,0.00,7.00,0.31,1.49
Oct 2011,"663,557,505.00",0.00,"642,203,405.00","1,938,202,850.00","703,134,775.61",5.10,0.00,2.91,3.45,3.20
Nov 2011,"672,703,965.00",0.00,"669,719,839.00","1,939,363,210.00","698,447,450.90",1.38,0.00,4.28,0.06,-0.67
Dic 2011,"696,021,621.00",0.00,"697,612,905.00","1,779,167,910.00","703,112,134.53",3.47,0.00,4.16,-8.26,0.67
Ene 2012,"709,075,641.00",0.00,"717,206,613.00","1,856,945,970.00","740,844,641.33",1.88,0.00,2.81,4.37,5.37
Feb 2012,"713,388,904.00",0.00,"731,003,502.00","1,876,542,790.00","745,409,701.47",0.61,0.00,1.92,1.06,0.62
Mar 2012,"717,404,058.00",0.00,"760,491,700.00","1,878,473,940.00","733,041,745.72",0.56,0.00,4.03,0.10,-1.66
Abr 2012,"730,606,601.00",0.00,"767,828,878.00","1,938,976,880.00","769,564,273.96",1.84,0.00,0.96,3.22,4.98
May 2012,"736,034,482.00",0.00,"797,042,080.00","1,987,027,290.00","793,282,123.34",0.74,0.00,3.80,2.48,3.08
Jun 2012,"830,590,862.00",0.00,"805,567,188.00","1,933,380,010.00","793,012,906.94",12.85,0.00,1.07,-2.70,-0.03
Jul 2012,"843,479,069.00",0.00,"829,106,658.00","2,016,770,060.00","847,316,995.46",1.55,0.00,2.92,4.31,6.85
Ago 2012,"844,725,941.00",0.00,"840,444,323.00","2,032,233,540.00","848,340,510.39",0.15,0.00,1.37,0.77,0.12
Sep 2012,"835,698,625.00",0.00,"863,347,613.00","2,094,545,170.00","897,283,082.49",-1.07,0.00,2.73,3.07,5.77
Oct 2012,"818,344,661.00",0.00,"870,533,037.00","2,107,971,910.00","901,641,254.72",-2.08,0.00,0.83,0.64,0.49
Nov 2012,"825,120,087.00",0.00,"882,923,911.00","2,172,575,220.00","910,529,982.95",0.83,0.00,1.42,3.06,0.99
Dic 2012,"811,949,232.00",0.00,"906,536,690.00","2,057,523,200.00","887,076,081.14",-1.60,0.00,2.67,-5.30,-2.58
Ene 2013,"833,617,276.00",0.00,"918,593,404.00","2,144,757,170.00","906,472,844.56",2.67,0.00,1.33,4.24,2.19
Feb 2013,"814,954,179.00",0.00,"938,179,731.00","2,211,987,180.00","928,256,738.42",-2.24,0.00,2.13,3.13,2.40
Mar 2013,"832,860,377.00",0.00,"944,970,093.00","2,283,164,340.00","968,674,952.42",2.20,0.00,0.72,3.22,4.35
Abr 2013,"833,265,051.00",0.00,"964,840,337.00","2,400,955,770.00","1,017,355,469.89",0.05,0.00,2.10,5.16,5.03
May 2013,"830,198,602.00",0.00,"977,286,254.00","2,342,302,570.00","966,145,401.15",-0.37,0.00,1.29,-2.44,-5.03
Jun 2013,"848,758,847.00",0.00,"996,296,058.00","2,157,686,280.00","920,266,219.19",2.24,0.00,1.95,-7.88,-4.75
Jul 2013,"836,197,088.00",0.00,"1,002,079,815.00","2,162,237,470.00","926,917,807.76",-1.48,0.00,0.58,0.21,0.72
Ago 2013,"826,331,664.00",0.00,"1,025,046,313.00","2,195,879,320.00","944,916,030.54",-1.18,0.00,2.29,1.56,1.94
Sep 2013,"825,114,764.00",0.00,"1,020,547,344.00","2,273,845,260.00","987,510,144.24",-0.15,0.00,-0.44,3.55,4.51
Oct 2013,"801,738,741.00",0.00,"1,047,131,194.00","2,321,806,650.00","999,107,876.77",-2.83,0.00,2.60,2.11,1.17
Nov 2013,"812,844,225.00",0.00,"1,041,339,691.00","2,350,458,960.00","1,009,678,737.00",1.39,0.00,-0.55,1.23,1.06
Dic 2013,"952,083,488.00",0.00,"1,062,618,241.00","2,195,673,170.00","940,121,448.91",17.13,0.00,2.04,-6.59,-6.89
Ene 2014,"932,882,905.00",0.00,"1,056,127,131.00","2,248,849,270.00","955,395,576.25",-2.02,0.00,-0.61,2.42,1.62
Feb 2014,"956,900,614.00",0.00,"1,073,680,631.00","2,319,749,150.00","993,685,435.59",2.57,0.00,1.66,3.15,4.01
Mar 2014,"946,211,632.00",0.00,"1,061,451,921.00","2,441,285,770.00","1,022,478,735.96",-1.12,0.00,-1.14,5.24,2.90
Abr 2014,"919,519,073.00",0.00,"1,085,599,472.00","2,485,037,040.00","1,045,741,414.86",-2.82,0.00,2.27,1.79,2.28
May 2014,"934,855,798.00",0.00,"1,077,565,806.00","2,582,843,830.00","1,099,177,093.75",1.67,0.00,-0.74,3.94,5.11
Jun 2014,"950,274,325.00",0.00,"1,095,528,942.00","2,516,980,300.00","1,114,603,830.42",1.65,0.00,1.67,-2.55,1.40
Jul 2014,"969,719,374.00",0.00,"1,088,954,634.00","2,568,079,370.00","1,140,443,329.50",2.05,0.00,-0.60,2.03,2.32
Ago 2014,"906,624,711.00",0.00,"1,107,413,102.00","2,619,175,190.00","1,164,393,634.77",-6.51,0.00,1.70,1.99,2.10
Sep 2014,"924,657,265.00",0.00,"1,098,175,133.00","2,606,418,530.00","1,152,800,391.38",1.99,0.00,-0.83,-0.49,-1.00
Oct 2014,"954,670,766.00",0.00,"1,130,878,883.00","2,659,349,000.00","1,191,288,323.41",3.25,0.00,2.98,2.03,3.34
Nov 2014,"1,014,380,685.00",0.00,"1,127,945,718.00","2,738,821,490.00","1,216,787,317.33",6.25,0.00,-0.26,2.99,2.14
Dic 2014,"1,010,576,883.00",0.00,"1,158,342,391.00","2,638,704,980.00","1,128,037,733.70",-0.37,0.00,2.69,-3.66,-7.29
Ene 2015,"1,007,175,594.00",0.00,"1,162,945,251.00","2,772,161,980.00","1,156,340,606.42",-0.34,0.00,0.40,5.06,2.51
Feb 2015,"1,000,552,894.00",0.00,"1,192,969,701.00","2,758,787,440.00","1,155,796,601.79",-0.66,0.00,2.58,-0.48,-0.05
Mar 2015,"1,029,728,007.00",0.00,"1,199,733,260.00","2,773,422,540.00","1,147,390,258.32",2.92,0.00,0.57,0.53,-0.73
Abr 2015,"1,026,579,013.00",0.00,"1,192,960,265.00","2,808,958,770.00","1,165,020,119.85",-0.31,0.00,-0.56,1.28,1.54
May 2015,"1,041,493,444.00",0.00,"1,198,827,640.00","2,857,475,720.00","1,189,575,686.04",1.45,0.00,0.49,1.73,2.11
Jun 2015,"1,025,488,859.00",0.00,"1,229,875,720.00","2,729,895,590.00","1,180,241,293.19",-1.54,0.00,2.59,-4.46,-0.78
Jul 2015,"1,016,193,771.00",0.00,"1,229,922,931.00","2,781,723,970.00","1,201,294,926.30",-0.91,0.00,0.00,1.90,1.78
Ago 2015,"1,033,884,007.00",0.00,"1,201,408,499.00","2,829,343,690.00","1,212,131,086.93",1.74,0.00,-2.32,1.71,0.90
Sep 2015,"984,017,892.00",0.00,"1,198,301,768.00","2,883,216,880.00","1,232,032,571.55",-4.82,0.00,-0.26,1.90,1.64
Oct 2015,"893,970,427.00",0.00,"1,206,572,942.00","2,936,971,320.00","1,251,191,270.33",-9.15,0.00,0.69,1.86,1.56
Nov 2015,"847,331,781.00",0.00,"1,216,207,031.00","2,972,306,570.00","1,257,370,272.16",-5.22,0.00,0.80,1.20,0.49
Dic 2015,"865,339,283.00",0.00,"1,233,710,494.00","2,870,399,920.00","1,229,573,680.28",2.13,0.00,1.44,-3.43,-2.21
Ene 2016,"826,603,578.00",0.00,"1,211,355,222.00","2,944,308,800.00","1,273,163,231.02",-4.48,0.00,-1.81,2.57,3.55
Feb 2016,"816,337,223.00",0.00,"1,226,662,506.00","2,972,373,730.00","1,294,255,634.46",-1.24,0.00,1.26,0.95,1.66
Mar 2016,"714,334,970.00",0.00,"1,207,817,268.00","3,045,581,870.00","1,329,653,117.42",-12.50,0.00,-1.54,2.46,2.73
Abr 2016,"679,656,508.00",0.00,"1,198,598,478.00","3,113,564,120.00","1,362,567,727.13",-4.85,0.00,-0.76,2.23,2.48
May 2016,"675,528,080.00",0.00,"1,174,916,547.00","3,056,764,590.00","1,313,167,771.63",-0.61,0.00,-1.98,-1.82,-3.63
Jun 2016,"733,204,344.00",0.00,"1,141,826,200.00","2,936,866,580.00","1,222,482,005.51",8.54,0.00,-2.82,-3.92,-6.91
Jul 2016,"764,553,613.00",0.00,"1,144,165,520.00","2,959,142,570.00","1,265,351,888.54",4.28,0.00,0.20,0.76,3.51
Ago 2016,"774,927,459.00",0.00,"1,206,705,802.00","3,021,638,090.00","1,270,583,377.99",1.36,0.00,5.47,2.11,0.41
Sep 2016,"764,122,117.00",0.00,"1,178,144,282.00","3,043,260,230.00","1,293,514,971.81",-1.39,0.00,-2.37,0.72,1.80
Oct 2016,"730,902,351.00",0.00,"1,155,978,679.00","3,017,252,610.00","1,288,701,932.71",-4.35,0.00,-1.88,-0.85,-0.37
Nov 2016,"746,743,945.00",0.00,"1,173,400,187.00","2,939,160,640.00","1,277,453,866.63",2.17,0.00,1.51,-2.59,-0.87
Dic 2016,"762,360,520.00",0.00,"1,157,862,012.00","2,766,793,270.00","1,290,932,863.42",2.09,0.00,-1.32,-5.86,1.06
Ene 2017,"776,400,601.00",0.00,"1,173,326,236.00","2,822,865,570.00","1,311,295,461.04",1.84,0.00,1.34,2.03,1.58
Feb 2017,"780,779,682.00",0.00,"1,162,271,406.00","2,869,315,150.00","1,335,510,684.84",0.56,0.00,-0.94,1.65,1.85
Mar 2017,"793,414,843.00",0.00,"1,192,428,073.00","2,968,009,300.00","1,373,446,350.31",1.62,0.00,2.59,3.44,2.84
Abr 2017,"856,266,198.00",0.00,"1,177,571,696.00","2,993,713,540.00","1,413,284,733.61",7.92,0.00,-1.25,0.87,2.90
May 2017,"810,046,377.00",0.00,"1,205,465,305.00","3,009,270,440.00","1,429,005,368.29",-5.40,0.00,2.37,0.52,1.11
Jun 2017,"878,598,493.00",0.00,"1,199,138,581.00","2,949,193,520.00","1,449,708,141.99",8.46,0.00,-0.52,-2.00,1.45
Jul 2017,"880,092,517.00",0.00,"1,215,780,544.00","2,968,120,210.00","1,465,146,223.29",0.17,0.00,1.39,0.64,1.06
Ago 2017,"896,874,706.00",0.00,"1,230,470,726.00","3,025,182,890.00","1,492,385,730.53",1.91,0.00,1.21,1.92,1.86
Sep 2017,"887,539,470.00",0.00,"1,256,248,149.00","3,053,908,260.00","1,531,112,320.02",-1.04,0.00,2.09,0.95,2.59
Oct 2017,"903,294,365.00",0.00,"1,238,408,372.00","3,028,204,960.00","1,514,635,080.86",1.78,0.00,-1.42,-0.84,-1.08
Nov 2017,"886,755,033.00",0.00,"1,267,560,250.00","3,024,359,550.00","1,547,772,335.38",-1.83,0.00,2.35,-0.13,2.19
Dic 2017,"884,562,661.00",0.00,"1,261,073,780.00","2,839,372,280.00","1,458,798,996.79",-0.25,0.00,-0.51,-6.12,-5.75
Ene 2018,"889,624,588.00",0.00,"1,277,283,348.00","2,878,250,000.00","1,476,754,282.99",0.57,0.00,1.29,1.37,1.23
Feb 2018,"881,109,603.00",0.00,"1,266,997,662.00","2,914,605,510.00","1,490,727,686.97",-0.96,0.00,-0.81,1.26,0.95
Mar 2018,"847,681,283.00",0.00,"1,275,611,340.00","3,046,035,610.00","1,516,505,105.11",-3.79,0.00,0.68,4.51,1.73
Abr 2018,"821,330,863.00",0.00,"1,256,820,717.00","3,129,369,940.00","1,537,358,634.17",-3.11,0.00,-1.47,2.74,1.38
May 2018,"851,483,569.00",0.00,"1,288,367,564.00","3,126,925,040.00","1,557,408,924.60",3.67,0.00,2.51,-0.08,1.30
Jun 2018,"851,234,256.00",0.00,"1,252,688,932.00","2,984,351,620.00","1,559,125,619.22",-0.03,0.00,-2.77,-4.56,0.11
Jul 2018,"971,898,169.00",0.00,"1,260,846,768.00","2,921,470,560.00","1,595,874,541.97",14.18,0.00,0.65,-2.11,2.36
Ago 2018,"948,620,228.00",0.00,"1,270,666,866.00","2,932,241,620.00","1,614,573,942.09",-2.40,0.00,0.78,0.37,1.17
Sep 2018,"977,141,114.00",0.00,"1,262,306,807.00","2,986,336,020.00","1,635,288,515.75",3.01,0.00,-0.66,1.84,1.28
Oct 2018,"945,205,874.00",0.00,"1,250,342,786.00","2,903,532,580.00","1,596,652,308.96",-3.27,0.00,-0.95,-2.77,-2.36
Nov 2018,"972,172,833.00",0.00,"1,281,265,790.00","2,906,978,890.00","1,586,921,014.34",2.85,0.00,2.47,0.12,-0.61
Dic 2018,"943,891,166.00",0.00,"1,254,227,965.00","2,823,845,740.00","1,652,506,958.43",-2.91,0.00,-2.11,-2.86,4.13
Ene 2019,"882,701,376.00",0.00,"1,292,296,226.00","2,920,335,910.00","1,653,809,056.80",-6.48,0.00,3.04,3.42,0.08
Feb 2019,"868,455,510.00",0.00,"1,288,792,044.00","2,997,839,780.00","1,679,081,903.46",-1.61,0.00,-0.27,2.65,1.53
Mar 2019,"805,130,151.00",0.00,"1,304,737,738.00","3,091,166,690.00","1,726,892,762.64",-7.29,0.00,1.24,3.11,2.85
Abr 2019,"844,946,136.00",0.00,"1,348,430,638.00","3,131,747,640.00","1,772,060,030.88",4.95,0.00,3.35,1.31,2.62
May 2019,"829,602,078.00",0.00,"1,389,971,334.00","3,207,799,750.00","1,804,908,610.17",-1.82,0.00,3.08,2.43,1.85
Jun 2019,"926,705,403.00",0.00,"1,365,674,901.00","3,246,020,650.00","1,658,689,011.83",11.70,0.00,-1.75,1.19,-8.10
Jul 2019,"913,786,768.00",0.00,"1,397,669,107.00","3,317,630,180.00","1,693,976,706.01",-1.39,0.00,2.34,2.21,2.13
Ago 2019,"926,693,092.00",0.00,"1,394,602,607.00","3,464,894,140.00","1,761,074,478.08",1.41,0.00,-0.22,4.44,3.96
Sep 2019,"908,946,891.00",0.00,"1,425,974,363.00","3,551,367,630.00","1,778,354,895.59",-1.92,0.00,2.25,2.50,0.98
Oct 2019,"992,185,196.00",0.00,"1,420,031,824.00","3,672,422,910.00","1,828,992,417.39",9.16,0.00,-0.42,3.41,2.85
Nov 2019,"1,053,150,846.00",0.00,"1,466,541,308.00","3,700,954,360.00","1,844,957,543.86",6.14,0.00,3.28,0.78,0.87
Dic 2019,"1,115,855,310.00",0.00,"1,418,770,542.00","3,457,615,190.00","1,839,287,021.09",5.95,0.00,-3.26,-6.58,-0.31
Ene 2020,"1,060,281,803.00",0.00,"1,410,529,173.00","3,576,424,500.00","1,911,711,785.38",-4.98,0.00,-0.58,3.44,3.94
Feb 2020,"990,122,940.00",0.00,"1,444,522,099.00","3,597,994,330.00","1,941,579,352.59",-6.62,0.00,2.41,0.60,1.56
