FECHA,TASA DE RENDIMIENTO CETES 1 A¥O
15/11/1990,24.41
22/11/1990,25.02
29/11/1990,24.69
06/12/1990,25.64
13/12/1990,25.37
20/12/1990,25.01
27/12/1990,24.51
03/01/1991,24.26
10/01/1991,24.26
17/01/1991,24.69
24/01/1991,N/E
31/01/1991,25.24
07/02/1991,N/E
14/02/1991,24.69
21/02/1991,N/E
28/02/1991,24.10
07/03/1991,N/E
14/03/1991,22.83
20/03/1991,N/E
27/03/1991,23.00
01/04/1991,N/E
11/04/1991,21.95
18/04/1991,N/E
25/04/1991,21.90
02/05/1991,22.00
09/05/1991,N/E
16/05/1991,20.01
23/05/1991,N/E
30/05/1991,18.16
06/06/1991,N/E
13/06/1991,18.65
20/06/1991,N/E
27/06/1991,18.38
04/07/1991,N/E
11/07/1991,18.38
18/07/1991,N/E
25/07/1991,18.38
01/08/1991,17.89
08/08/1991,N/E
15/08/1991,17.60
22/08/1991,N/E
29/08/1991,17.17
05/09/1991,N/E
12/09/1991,17.95
19/09/1991,N/E
26/09/1991,N/E
03/10/1991,N/E
10/10/1991,17.72
17/10/1991,17.27
24/10/1991,17.09
31/10/1991,16.91
07/11/1991,16.69
14/11/1991,16.43
21/11/1991,N/E
28/11/1991,16.73
05/12/1991,N/E
11/12/1991,16.47
19/12/1991,N/E
26/12/1991,16.24
02/01/1992,15.90
09/01/1992,N/E
16/01/1992,15.51
23/01/1992,N/E
30/01/1992,N/E
06/02/1992,15.59
13/02/1992,N/E
20/02/1992,14.94
27/02/1992,N/E
05/03/1992,12.97
12/03/1992,N/E
19/03/1992,N/E
26/03/1992,11.75
02/04/1992,N/E
09/04/1992,N/E
15/04/1992,11.75
23/04/1992,11.75
30/04/1992,11.95
07/05/1992,N/E
14/05/1992,12.77
21/05/1992,N/E
28/05/1992,13.21
04/06/1992,13.14
11/06/1992,13.62
18/06/1992,N/E
25/06/1992,16.50
02/07/1992,N/E
09/07/1992,16.00
16/07/1992,16.50
23/07/1992,16.50
30/07/1992,17.00
06/08/1992,18.00
13/08/1992,17.90
20/08/1992,17.90
27/08/1992,18.00
03/09/1992,18.49
10/09/1992,19.50
17/09/1992,19.51
24/09/1992,19.52
01/10/1992,19.52
08/10/1992,19.24
15/10/1992,19.60
22/10/1992,19.10
29/10/1992,19.24
05/11/1992,19.14
12/11/1992,18.63
19/11/1992,18.39
26/11/1992,18.63
03/12/1992,18.49
10/12/1992,18.75
17/12/1992,19.00
24/12/1992,19.05
30/12/1992,19.50
07/01/1993,19.00
14/01/1993,18.95
21/01/1993,18.85
28/01/1993,19.17
04/02/1993,19.44
11/02/1993,19.69
18/02/1993,19.86
25/02/1993,19.90
04/03/1993,19.60
11/03/1993,18.89
18/03/1993,18.59
25/03/1993,18.28
01/04/1993,17.12
07/04/1993,17.29
15/04/1993,17.42
22/04/1993,17.38
29/04/1993,16.58
06/05/1993,16.50
13/05/1993,16.79
20/05/1993,16.90
27/05/1993,16.76
03/06/1993,16.79
10/06/1993,16.72
17/06/1993,16.31
24/06/1993,15.97
01/07/1993,15.01
08/07/1993,15.15
15/07/1993,14.90
22/07/1993,14.43
29/07/1993,14.20
05/08/1993,14.26
12/08/1993,14.37
19/08/1993,13.98
26/08/1993,13.35
02/09/1993,13.24
09/09/1993,12.99
15/09/1993,13.20
23/09/1993,13.58
30/09/1993,14.05
07/10/1993,13.61
14/10/1993,13.81
21/10/1993,12.81
28/10/1993,12.57
04/11/1993,12.33
11/11/1993,13.37
18/11/1993,12.15
25/11/1993,11.61
02/12/1993,11.83
09/12/1993,11.57
16/12/1993,10.85
23/12/1993,10.46
30/12/1993,10.45
06/01/1994,10.41
13/01/1994,10.74
20/01/1994,10.66
27/01/1994,11.08
03/02/1994,10.82
10/02/1994,10.61
17/02/1994,10.24
24/02/1994,10.46
03/03/1994,10.77
10/03/1994,10.99
17/03/1994,11.71
24/03/1994,11.32
30/03/1994,12.04
07/04/1994,13.66
14/04/1994,14.41
21/04/1994,16.83
28/04/1994,15.74
04/05/1994,16.78
12/05/1994,N/E
19/05/1994,16.55
26/05/1994,15.89
02/06/1994,15.49
09/06/1994,15.29
16/06/1994,15.58
23/06/1994,15.80
30/06/1994,15.71
07/07/1994,16.00
14/07/1994,16.74
21/07/1994,16.74
28/07/1994,15.85
04/08/1994,14.39
11/08/1994,13.85
18/08/1994,12.95
25/08/1994,12.43
01/09/1994,13.18
08/09/1994,13.64
15/09/1994,13.97
22/09/1994,13.41
29/09/1994,12.74
06/10/1994,13.15
13/10/1994,13.51
20/10/1994,13.86
27/10/1994,13.98
03/11/1994,14.04
10/11/1994,13.85
17/11/1994,14.33
24/11/1994,14.61
30/11/1994,14.56
08/12/1994,14.56
15/12/1994,14.97
22/12/1994,15.84
29/12/1994,N/E
05/01/1995,N/E
12/01/1995,32.99
19/01/1995,38.51
26/01/1995,34.94
02/02/1995,29.99
09/02/1995,31.79
16/02/1995,35.99
23/02/1995,46.98
02/03/1995,45.99
09/03/1995,50.04
16/03/1995,N/E
23/03/1995,N/E
30/03/1995,N/E
06/04/1995,N/E
12/04/1995,N/E
20/04/1995,N/E
27/04/1995,N/E
04/05/1995,N/E
11/05/1995,N/E
18/05/1995,N/E
25/05/1995,N/E
01/06/1995,N/E
08/06/1995,N/E
15/06/1995,N/E
22/06/1995,N/E
29/06/1995,N/E
06/07/1995,N/E
13/07/1995,N/E
20/07/1995,36.72
27/07/1995,37.50
03/08/1995,36.29
10/08/1995,36.11
17/08/1995,36.41
24/08/1995,36.71
31/08/1995,37.48
07/09/1995,36.89
14/09/1995,35.88
21/09/1995,34.80
28/09/1995,36.87
05/10/1995,40.43
11/10/1995,N/E
19/10/1995,N/E
26/10/1995,N/E
01/11/1995,N/E
09/11/1995,N/E
16/11/1995,N/E
23/11/1995,N/E
30/11/1995,N/E
07/12/1995,N/E
14/12/1995,N/E
21/12/1995,N/E
28/12/1995,N/E
04/01/1996,41.90
11/01/1996,40.39
18/01/1996,40.46
25/01/1996,40.03
01/02/1996,40.61
08/02/1996,41.42
15/02/1996,43.17
22/02/1996,44.36
29/02/1996,44.30
07/03/1996,45.47
14/03/1996,45.54
20/03/1996,42.52
28/03/1996,40.65
03/04/1996,39.28
11/04/1996,39.81
18/04/1996,36.30
25/04/1996,36.26
02/05/1996,36.86
09/05/1996,36.21
16/05/1996,33.77
23/05/1996,32.91
30/05/1996,31.72
06/06/1996,32.98
13/06/1996,34.06
20/06/1996,33.24
27/06/1996,33.37
04/07/1996,34.11
11/07/1996,34.83
18/07/1996,35.48
25/07/1996,34.30
01/08/1996,35.40
08/08/1996,32.75
15/08/1996,32.70
22/08/1996,31.00
29/08/1996,30.94
05/09/1996,32.43
12/09/1996,30.93
19/09/1996,29.18
26/09/1996,28.03
03/10/1996,27.39
10/10/1996,26.83
17/10/1996,28.65
24/10/1996,28.41
31/10/1996,28.63
07/11/1996,27.15
14/11/1996,27.12
21/11/1996,26.74
28/11/1996,26.50
05/12/1996,25.46
11/12/1996,25.59
19/12/1996,25.68
26/12/1996,25.75
02/01/1997,25.98
09/01/1997,26.00
16/01/1997,25.54
23/01/1997,25.86
30/01/1997,25.68
06/02/1997,25.30
13/02/1997,23.99
20/02/1997,23.40
27/02/1997,23.53
06/03/1997,24.49
13/03/1997,24.22
20/03/1997,23.96
26/03/1997,23.44
03/04/1997,23.90
10/04/1997,23.94
17/04/1997,24.29
24/04/1997,23.72
30/04/1997,24.35
08/05/1997,23.17
15/05/1997,23.06
22/05/1997,22.74
29/05/1997,22.99
05/06/1997,22.92
12/06/1997,22.96
19/06/1997,22.20
26/06/1997,22.08
03/07/1997,21.16
10/07/1997,20.24
17/07/1997,20.94
24/07/1997,20.83
31/07/1997,20.24
07/08/1997,20.52
14/08/1997,20.84
21/08/1997,21.02
28/08/1997,22.08
04/09/1997,21.31
11/09/1997,21.50
18/09/1997,21.80
25/09/1997,20.01
02/10/1997,19.81
09/10/1997,19.57
16/10/1997,19.41
23/10/1997,18.70
30/10/1997,22.91
06/11/1997,21.36
13/11/1997,22.83
19/11/1997,21.96
27/11/1997,21.78
04/12/1997,19.84
11/12/1997,20.19
18/12/1997,19.90
24/12/1997,20.17
31/12/1997,19.85
08/01/1998,19.21
15/01/1998,20.03
22/01/1998,20.13
29/01/1998,20.19
04/02/1998,20.13
12/02/1998,20.35
19/02/1998,20.45
26/02/1998,20.73
05/03/1998,20.84
12/03/1998,21.09
19/03/1998,22.67
26/03/1998,20.87
02/04/1998,20.83
08/04/1998,20.79
16/04/1998,20.43
23/04/1998,19.95
30/04/1998,20.40
07/05/1998,20.24
14/05/1998,20.33
21/05/1998,20.91
28/05/1998,22.27
04/06/1998,21.93
11/06/1998,22.24
18/06/1998,24.00
25/06/1998,24.48
02/07/1998,25.95
09/07/1998,24.82
16/07/1998,22.91
23/07/1998,23.37
30/07/1998,24.83
06/08/1998,25.70
13/08/1998,27.23
20/08/1998,27.65
27/08/1998,31.00
03/09/1998,N/E
10/09/1998,N/E
17/09/1998,N/E
24/09/1998,N/E
01/10/1998,N/E
08/10/1998,N/E
15/10/1998,N/E
22/10/1998,N/E
29/10/1998,N/E
05/11/1998,N/E
12/11/1998,N/E
19/11/1998,N/E
26/11/1998,N/E
03/12/1998,N/E
10/12/1998,N/E
17/12/1998,N/E
24/12/1998,N/E
31/12/1998,N/E
07/01/1999,N/E
14/01/1999,29.99
21/01/1999,31.84
28/01/1999,31.71
04/02/1999,29.72
11/02/1999,28.69
18/02/1999,27.31
25/02/1999,27.01
04/03/1999,26.96
11/03/1999,25.80
18/03/1999,23.93
25/03/1999,24.60
31/03/1999,23.69
08/04/1999,23.13
15/04/1999,23.61
22/04/1999,23.38
29/04/1999,22.62
06/05/1999,22.40
13/05/1999,22.29
20/05/1999,22.66
27/05/1999,23.32
03/06/1999,23.72
10/06/1999,23.52
17/06/1999,23.76
24/06/1999,22.90
01/07/1999,23.02
08/07/1999,N/E
15/07/1999,23.15
22/07/1999,N/E
29/07/1999,24.31
05/08/1999,N/E
12/08/1999,26.48
19/08/1999,N/E
26/08/1999,24.44
02/09/1999,N/E
09/09/1999,24.34
15/09/1999,N/E
23/09/1999,23.58
30/09/1999,N/E
07/10/1999,23.07
14/10/1999,N/E
21/10/1999,22.46
28/10/1999,N/E
04/11/1999,21.39
11/11/1999,N/E
18/11/1999,19.70
25/11/1999,N/E
02/12/1999,18.70
09/12/1999,N/E
16/12/1999,18.68
23/12/1999,N/E
30/12/1999,18.67
06/01/2000,N/E
13/01/2000,N/E
20/01/2000,N/E
27/01/2000,18.82
03/02/2000,N/E
10/02/2000,N/E
17/02/2000,N/E
24/02/2000,17.27
02/03/2000,N/E
09/03/2000,N/E
16/03/2000,N/E
23/03/2000,15.89
30/03/2000,N/E
06/04/2000,N/E
13/04/2000,N/E
19/04/2000,17.04
27/04/2000,N/E
04/05/2000,N/E
11/05/2000,N/E
18/05/2000,17.61
25/05/2000,N/E
01/06/2000,N/E
08/06/2000,N/E
15/06/2000,16.88
22/06/2000,N/E
29/06/2000,N/E
06/07/2000,N/E
13/07/2000,15.84
20/07/2000,N/E
27/07/2000,N/E
03/08/2000,N/E
10/08/2000,16.95
17/08/2000,N/E
24/08/2000,N/E
31/08/2000,N/E
07/09/2000,16.11
14/09/2000,N/E
21/09/2000,N/E
28/09/2000,N/E
05/10/2000,16.66
12/10/2000,N/E
19/10/2000,N/E
26/10/2000,N/E
01/11/2000,17.29
09/11/2000,N/E
16/11/2000,N/E
23/11/2000,N/E
30/11/2000,16.83
07/12/2000,N/E
14/12/2000,N/E
21/12/2000,N/E
28/12/2000,17.01
04/01/2001,N/E
11/01/2001,N/E
18/01/2001,N/E
25/01/2001,17.89
01/02/2001,N/E
08/02/2001,N/E
15/02/2001,N/E
22/02/2001,17.93
01/03/2001,N/E
08/03/2001,N/E
15/03/2001,N/E
22/03/2001,16.68
29/03/2001,N/E
05/04/2001,N/E
11/04/2001,N/E
19/04/2001,15.43
26/04/2001,N/E
03/05/2001,N/E
10/05/2001,N/E
17/05/2001,14.24
24/05/2001,N/E
31/05/2001,N/E
07/06/2001,N/E
14/06/2001,11.94
21/06/2001,N/E
28/06/2001,N/E
05/07/2001,N/E
12/07/2001,12.82
19/07/2001,N/E
26/07/2001,N/E
02/08/2001,N/E
09/08/2001,11.44
16/08/2001,N/E
23/08/2001,N/E
30/08/2001,N/E
06/09/2001,12.49
13/09/2001,N/E
20/09/2001,N/E
27/09/2001,N/E
04/10/2001,12.78
11/10/2001,N/E
18/10/2001,N/E
25/10/2001,N/E
01/11/2001,11.96
08/11/2001,N/E
15/11/2001,N/E
22/11/2001,N/E
29/11/2001,10.86
06/12/2001,N/E
13/12/2001,N/E
20/12/2001,N/E
27/12/2001,10.08
03/01/2002,N/E
10/01/2002,N/E
17/01/2002,N/E
24/01/2002,9.07
31/01/2002,N/E
07/02/2002,N/E
14/02/2002,N/E
21/02/2002,9.11
28/02/2002,N/E
07/03/2002,N/E
14/03/2002,N/E
20/03/2002,8.00
27/03/2002,N/E
04/04/2002,N/E
11/04/2002,N/E
18/04/2002,7.34
25/04/2002,N/E
02/05/2002,N/E
09/05/2002,N/E
16/05/2002,7.71
23/05/2002,N/E
30/05/2002,N/E
06/06/2002,N/E
13/06/2002,8.12
20/06/2002,N/E
27/06/2002,N/E
04/07/2002,N/E
11/07/2002,8.76
18/07/2002,N/E
25/07/2002,N/E
01/08/2002,N/E
08/08/2002,8.56
15/08/2002,N/E
22/08/2002,N/E
29/08/2002,N/E
05/09/2002,8.48
12/09/2002,N/E
19/09/2002,N/E
26/09/2002,N/E
03/10/2002,9.52
10/10/2002,N/E
17/10/2002,N/E
24/10/2002,N/E
